Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
12/03/2020,RELIANCE,EQ,1153.55,1085,1101,1048.7,1059,1063,1076.2,25588170,2.7538E+15,646095,13287100,0.5193
13/03/2020,RELIANCE,EQ,1063,998,1140,942.4,1116.95,1105.3,1053.35,33509757,3.52974E+15,706395,14587908,0.4353
16/03/2020,RELIANCE,EQ,1105.3,1060.55,1079.7,1005,1012.2,1015.7,1046.83,17594729,1.84187E+15,441083,8819285,0.5012
17/03/2020,RELIANCE,EQ,1015.7,1047.25,1060,1003.2,1011.5,1008,1034.68,20777442,2.1498E+15,463953,10596500,0.51
18/03/2020,RELIANCE,EQ,1008,1025.3,1035.9,961,976.45,968.5,992.19,20450497,2.02908E+15,499736,8751121,0.4279
19/03/2020,RELIANCE,EQ,968.5,920.1,967,892.2,917.7,917.7,918.86,28072062,2.57944E+15,636588,13023488,0.4639
20/03/2020,RELIANCE,EQ,917.7,939.5,1034.9,930,1028,1017.95,983.98,28967526,2.85034E+15,589033,12676996,0.4376
23/03/2020,RELIANCE,EQ,1017.95,916.2,950,875.65,891,884.05,899.32,18593713,1.67216E+15,569206,9759892,0.5249
24/03/2020,RELIANCE,EQ,884.05,930,970,895.8,946,943.4,934.85,20919322,1.95565E+15,590891,8384530,0.4008
25/03/2020,RELIANCE,EQ,943.4,963.8,1151.55,963.25,1074,1082.25,1053.49,33433126,3.52213E+15,799060,16920113,0.5061
26/03/2020,RELIANCE,EQ,1082.25,1095.8,1116.9,1042.35,1069,1066.2,1074.95,20912934,2.24803E+15,592742,8024956,0.3837
27/03/2020,RELIANCE,EQ,1066.2,1095,1107.3,1046.2,1067.95,1065.6,1070.06,19044644,2.03789E+15,502817,8854044,0.4649
30/03/2020,RELIANCE,EQ,1065.6,1040.6,1074.8,1020,1031.5,1030.45,1044.14,13820286,1.44303E+15,386770,5108078,0.3696
31/03/2020,RELIANCE,EQ,1030.45,1073.95,1129.8,1048,1100,1113.75,1093.37,20249909,2.21407E+15,506536,8062531,0.3982
01/04/2020,RELIANCE,EQ,1113.75,1122.25,1124.6,1045.2,1084,1080.45,1072.84,19017099,2.04024E+15,414675,7771573,0.4087
03/04/2020,RELIANCE,EQ,1080.45,1134.45,1134.45,1056.3,1088,1077.45,1077.52,18912044,2.03781E+15,519365,6471589,0.3422
07/04/2020,RELIANCE,EQ,1077.45,1102.1,1214,1100,1211,1206.1,1161.27,24859057,2.8868E+15,556669,9176463,0.3691
08/04/2020,RELIANCE,EQ,1206.1,1180,1229,1160,1197,1192.15,1194.6,22803774,2.72414E+15,538577,7545325,0.3309
09/04/2020,RELIANCE,EQ,1192.15,1214,1232.8,1193,1217.75,1219.95,1214.91,15101711,1.83472E+15,368355,4543136,0.3008
13/04/2020,RELIANCE,EQ,1219.95,1203.95,1215,1180,1192.5,1189.15,1191.64,10822871,1.2897E+15,263593,2785395,0.2574
15/04/2020,RELIANCE,EQ,1189.15,1197.05,1236,1143,1157.5,1149.85,1191.73,16147959,1.9244E+15,404270,5315163,0.3292
